label,confidence,xmin,ymin,xmax,ymax
free,tensor([0.8569]),tensor(1892.7009),tensor(955.6695),tensor(2072.3044),tensor(1244.6985)
car,tensor([0.8516]),tensor(2198.6384),tensor(954.6149),tensor(2380.1223),tensor(1253.2074)
car,tensor([0.8493]),tensor(1007.7882),tensor(930.0123),tensor(1182.6329),tensor(1220.8846)
free,tensor([0.8491]),tensor(1455.6558),tensor(941.0211),tensor(1616.1655),tensor(1234.3969)
free,tensor([0.8418]),tensor(1746.6058),tensor(951.0198),tensor(1917.1803),tensor(1239.8401)
car,tensor([0.8380]),tensor(2361.3125),tensor(956.6928),tensor(2531.6631),tensor(1258.8153)
free,tensor([0.8280]),tensor(2039.3844),tensor(960.4069),tensor(2227.2048),tensor(1248.2168)
free,tensor([0.8240]),tensor(1157.3867),tensor(938.8278),tensor(1323.4365),tensor(1226.7035)
free,tensor([0.8236]),tensor(1601.3047),tensor(948.7144),tensor(1767.7054),tensor(1239.8617)
free,tensor([0.8103]),tensor(1306.3065),tensor(942.5244),tensor(1470.3469),tensor(1231.8452)
free,tensor([0.8043]),tensor(857.9432),tensor(924.1308),tensor(1038.9597),tensor(1223.0447)
free,tensor([0.7911]),tensor(100.3191),tensor(912.8598),tensor(331.2833),tensor(1213.1552)
free,tensor([0.7902]),tensor(0.0264),tensor(920.7261),tensor(180.8914),tensor(1214.2029)
free,tensor([0.7813]),tensor(705.2397),tensor(921.9277),tensor(899.0835),tensor(1223.2358)
free,tensor([0.7779]),tensor(247.0204),tensor(918.9823),tensor(468.4679),tensor(1211.5873)
free,tensor([0.7753]),tensor(397.8045),tensor(920.0955),tensor(607.7767),tensor(1220.8059)
free,tensor([0.7727]),tensor(552.2556),tensor(921.1966),tensor(752.1446),tensor(1222.0665)
car,tensor([0.5449]),tensor(2498.9622),tensor(951.6741),tensor(2560.),tensor(1250.7358)
free,tensor([0.2782]),tensor(0.),tensor(896.9957),tensor(31.8119),tensor(1204.5820)
